City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,edinburgh of the seven seas,-37.0676,-12.3116,12.32000000000005,62,39,5.72,SH,1717126972
1,port-aux-francais,-49.35,70.2167,2.7200000000000273,82,99,10.1,TF,1717126972
2,wajir,1.7471,40.0573,23.980000000000018,78,0,1.54,KE,1717126973
3,afaahiti,-17.75,-149.2833,27.810000000000002,77,18,3.58,PF,1717126973
4,geraldton,-28.7667,114.6,22.230000000000018,40,0,7.2,AU,1717126973
5,ribeira grande,38.5167,-28.7,18.760000000000048,78,60,5.36,PT,1717126973
6,invercargill,-46.4,168.35,17.230000000000018,65,100,4.02,NZ,1717126973
7,guarapari,-20.6667,-40.4975,19.810000000000002,80,88,4.88,BR,1717126973
8,adamstown,-25.066,-130.1015,21.24000000000001,70,91,8.99,PN,1717126973
9,puerto baquerizo moreno,-0.9,-89.6,21.720000000000027,88,87,4.35,EC,1717126932
10,terenos,-20.4422,-54.8603,19.840000000000032,52,0,4.12,BR,1717126974
11,conde,-7.2597,-34.9075,23.700000000000045,88,0,3.09,BR,1717126974
12,enewetak,11.3474,162.3373,28.220000000000027,73,100,5.64,MH,1717126974
13,albany,42.6001,-73.9662,12.54000000000002,78,74,0.45,US,1717126870
14,san nicolas,18.1725,120.5953,32.950000000000045,62,40,3.6,PH,1717126974
15,maintirano,-18.0667,44.0167,21.78000000000003,75,0,3.54,MG,1717126974
16,grytviken,-54.2811,-36.5092,-7.759999999999991,78,17,5.63,GS,1717126974
17,manali,13.1667,80.2667,36.73000000000002,58,8,0.45,IN,1717126974
18,stephenville,32.2207,-98.2023,20.140000000000043,88,100,0.0,US,1717126975
19,blackmans bay,-43.0167,147.3167,13.07000000000005,70,49,9.76,AU,1717126975
20,thompson,55.7435,-97.8558,15.090000000000032,88,75,3.09,CA,1717126975
21,avarua,-21.2078,-159.775,22.03000000000003,100,75,3.09,CK,1717126975
22,kone,-21.0595,164.8658,24.390000000000043,48,63,5.52,NC,1717126975
23,st. john's,47.5649,-52.7093,15.080000000000041,82,75,2.57,CA,1717126885
24,opuwo,-18.0607,13.84,11.870000000000005,66,0,0.3,NA,1717126975
25,mil'kovo,55.6078,37.7956,20.590000000000032,82,44,1.63,RU,1717126975
26,ugoofaaru,5.6667,73.0,28.80000000000001,83,94,7.43,MV,1717126976
27,douglas,41.3,-96.167,18.30000000000001,92,0,2.57,US,1717126976
28,puerto ayora,-0.7393,-90.3518,22.53000000000003,99,79,3.57,EC,1717126976
29,spring creek,40.7266,-115.5859,17.83000000000004,40,87,3.18,US,1717126976
30,malabrigo,-29.3464,-59.9696,10.900000000000034,93,0,3.4,AR,1717126976
31,campbell river,50.0163,-125.2446,16.210000000000036,44,75,2.06,CA,1717126976
32,fort mcmurray,56.7268,-111.381,10.770000000000039,93,40,4.63,CA,1717126903
33,dame-marie,18.5667,-74.4167,26.83000000000004,85,95,2.76,HT,1717126976
34,jamestown,42.097,-79.2353,10.400000000000034,73,0,2.06,US,1717126977
